Feature,category
2086,"AHEI, aMED, DASH, hPDI, PHDI, rEDIP, Western"
2112,"AHEI, aMED, DASH, hPDI, PHDI, rEDIP, Western"
4548,"AHEI, aMED, DASH, hPDI, PHDI, rEDIP, Western"
4597,"AHEI, aMED, DASH, hPDI, PHDI, rEDIP, Western"
5651,"AHEI, aMED, DASH, hPDI, PHDI, rEDIP, Western"
5690,"AHEI, aMED, DASH, hPDI, PHDI, rEDIP, Western"
5719,"AHEI, aMED, DASH, hPDI, PHDI, rEDIP, Western"
6086,"AHEI, aMED, DASH, hPDI, PHDI, rEDIP, Western"
6142,"AHEI, aMED, DASH, hPDI, PHDI, rEDIP, Western"
7090,"AHEI, aMED, DASH, hPDI, PHDI, rEDIP, Western"
7109,"AHEI, aMED, DASH, hPDI, PHDI, rEDIP, Western"
7139,"AHEI, aMED, DASH, hPDI, PHDI, rEDIP, Western"
7547,"AHEI, aMED, DASH, hPDI, PHDI, rEDIP, Western"
9978,"AHEI, aMED, DASH, hPDI, PHDI, rEDIP, Western"
11777,"AHEI, aMED, DASH, hPDI, PHDI, rEDIP, Western"
161,"AHEI, aMED, hPDI, PHDI, rEDIP, Western"
65,"DASH, hPDI, PHDI, rEDIP, Western"
228,"DASH, hPDI, PHDI, rEDIP, Western"
290,"DASH, hPDI, PHDI, rEDIP, Western"
300,"DASH, hPDI, PHDI, rEDIP, Western"
398,"DASH, hPDI, PHDI, rEDIP, Western"
401,"DASH, hPDI, PHDI, rEDIP, Western"
486,"DASH, hPDI, PHDI, rEDIP, Western"
766,"DASH, hPDI, PHDI, rEDIP, Western"
946,"DASH, hPDI, PHDI, rEDIP, Western"
997,"DASH, hPDI, PHDI, rEDIP, Western"
1020,"hPDI, PHDI, rEDIP, Western, DASH"
1040,"hPDI, PHDI, rEDIP, Western, DASH"
1084,"DASH, hPDI, PHDI, rEDIP, Western"
2120,"DASH, hPDI, PHDI, rEDIP, Western"
2528,"DASH, hPDI, PHDI, rEDIP, Western"
2552,"DASH, hPDI, PHDI, rEDIP, Western"
2555,"DASH, hPDI, PHDI, rEDIP, Western"
2568,"DASH, hPDI, PHDI, rEDIP, Western"
2578,"DASH, hPDI, PHDI, rEDIP, Western"
2649,"DASH, hPDI, PHDI, rEDIP, Western"
2703,"DASH, hPDI, PHDI, rEDIP, Western"
2828,"DASH, hPDI, PHDI, rEDIP, Western"
2931,"DASH, hPDI, PHDI, rEDIP, Western"
2987,"DASH, hPDI, PHDI, rEDIP, Western"
3191,"DASH, hPDI, PHDI, rEDIP, Western"
3219,"DASH, hPDI, PHDI, rEDIP, Western"
3275,"DASH, hPDI, PHDI, rEDIP, Western"
3387,"DASH, hPDI, PHDI, rEDIP, Western"
3388,"DASH, hPDI, PHDI, rEDIP, Western"
3642,"DASH, hPDI, PHDI, rEDIP, Western"
3772,"DASH, hPDI, PHDI, rEDIP, Western"
4006,"DASH, hPDI, PHDI, rEDIP, Western"
9798,"DASH, hPDI, PHDI, rEDIP, Western"
10429,"hPDI, PHDI, rEDIP, Western, DASH"
11486,"DASH, hPDI, PHDI, rEDIP, Western"
1407,"hPDI, PHDI, rEDIP, Western"
1720,"hPDI, PHDI, rEDIP, Western"
2206,"hPDI, PHDI, rEDIP, Western"
3490,"hPDI, PHDI, rEDIP, Western"
5860,"hPDI, PHDI, rEDIP, Western"
6869,"hPDI, PHDI, rEDIP, Western"
6905,"hPDI, PHDI, rEDIP, Western"
7322,"hPDI, PHDI, rEDIP, Western"
7347,"hPDI, PHDI, rEDIP, Western"
7533,"hPDI, PHDI, rEDIP, Western"
6088,"AHEI, aMED"
6382,"AHEI, aMED"
6903,"AHEI, aMED"
25527,"AHEI, aMED"
22,DASH
24,DASH
31,DASH
124,DASH
230,DASH
245,DASH
378,DASH
435,DASH
441,DASH
495,DASH
981,DASH
1018,DASH
1096,DASH
1098,DASH
1113,DASH
1125,DASH
1130,DASH
1737,DASH
1811,DASH
2131,DASH
2915,DASH
3154,DASH
3627,MIND
3730,MIND
3890,DASH
4567,MIND
4673,DASH
5143,DASH
5578,DASH
5698,DASH
5699,DASH
5868,MIND
6549,DASH
6769,MIND
6771,MIND
8124,MIND
8435,MIND
8442,MIND
8548,MIND
8703,MIND
8815,MIND
9478,MIND
9822,MIND
10936,MIND
11590,MIND
11784,DASH
11945,MIND
12368,MIND
12646,DASH
13356,DASH
14468,MIND
